instructor,rmp_rating,rmp_difficulty,rmp_num_ratings,rmp_take_again,rmp_url,rmp_dept,rmp_tags
"OEHLMANN, PAUL",4.1,3.1,14,100%,https://www.ratemyprofessors.com/professor/3063864,Physics,"LOTS OF HOMEWORK, CLEAR GRADING CRITERIA, TEST HEAVY, LECTURE HEAVY, AMAZING LECTURES, GIVES GOOD FEEDBACK, INSPIRATIONAL"
"BRUSUTTI, ANNA",3.1,2.9,184,45%,https://www.ratemyprofessors.com/professor/268051,Film,"GET READY TO READ, LECTURE HEAVY, GRADED BY FEW THINGS, TOUGH GRADER, SO MANY PAPERS, RESPECTED, GIVES GOOD FEEDBACK, HILARIOUS, ACCESSIBLE OUTSIDE CLASS, CARING"
"AFIFI, WALID",3.6,3.3,64,61%,https://www.ratemyprofessors.com/professor/933080,Communication,"TOUGH GRADER, TEST HEAVY, CARING, AMAZING LECTURES, GRADED BY FEW THINGS, CLEAR GRADING CRITERIA, RESPECTED, GET READY TO READ, LECTURE HEAVY"
"PERRONE, GIULIANA",4.6,2.6,58,86%,https://www.ratemyprofessors.com/professor/2294553,History,"AMAZING LECTURES, GET READY TO READ, GRADED BY FEW THINGS, RESPECTED, CLEAR GRADING CRITERIA, INSPIRATIONAL, CARING, TEST HEAVY"
"PANDYA, SAMEER",4.4,2.5,57,87%,https://www.ratemyprofessors.com/professor/1252531,Ethnic Studies,"GET READY TO READ, AMAZING LECTURES, GRADED BY FEW THINGS, INSPIRATIONAL, LECTURE HEAVY, HILARIOUS, ACCESSIBLE OUTSIDE CLASS, RESPECTED"
"CASTEELS, KAREL",4.2,2.8,48,83%,https://www.ratemyprofessors.com/professor/1504927,Mathematics,"CARING, AMAZING LECTURES, ACCESSIBLE OUTSIDE CLASS, INSPIRATIONAL, LOTS OF HOMEWORK, CLEAR GRADING CRITERIA, TOUGH GRADER, RESPECTED, TEST HEAVY, PARTICIPATION MATTERS"
"MOORE, KATIE",4.1,2.0,31,76%,https://www.ratemyprofessors.com/professor/2656708,History,"LECTURE HEAVY, CLEAR GRADING CRITERIA, GRADED BY FEW THINGS, GET READY TO READ, AMAZING LECTURES, TOUGH GRADER, SO MANY PAPERS"
"DE SIMONE, TIZIANA",4.2,2.5,27,100%,https://www.ratemyprofessors.com/professor/381763,Humanities,"CARING, PARTICIPATION MATTERS, SKIP CLASS? YOU WON'T PASS., GROUP PROJECTS, BEWARE OF POP QUIZZES, CLEAR GRADING CRITERIA, ACCESSIBLE OUTSIDE CLASS, AMAZING LECTURES"
"KEUM, TAE-YEOUN",3.7,3.7,15,60%,https://www.ratemyprofessors.com/professor/2681300,Political Science,"GET READY TO READ, AMAZING LECTURES, TOUGH GRADER, CARING, GRADED BY FEW THINGS, LOTS OF HOMEWORK, INSPIRATIONAL, RESPECTED"
"STEVENS, HANNAH",3.2,2.4,12,50%,https://www.ratemyprofessors.com/professor/3129627,Communication,"TOUGH GRADER, PARTICIPATION MATTERS, LECTURE HEAVY, CLEAR GRADING CRITERIA, GIVES GOOD FEEDBACK, CARING, GET READY TO READ, AMAZING LECTURES, TEST HEAVY"
