instructor,classes_taught,avg_gpa_historical
PABLO S R,1,3.108474945533769
PAHLAJANI C D,2,2.8266919095092025
PAN J,4,2.9747658454678456
PANAGIOTOU E,14,3.269843897392795
PANKAU J C,3,3.4397346328560747
PARK J,8,3.1291773585914178
PARKER M,3,3.3579045133518797
PATEL P,5,2.8809038804824407
PAUL S S,8,3.1174176382988548
PENG WU,1,2.6121212121212123
PETZOLD L,1,3.5773737373737373
PFAFF C E,7,2.7678867535661693
PION J E,1,2.372727272727273
PLUNKETT P O,3,2.8612801637210783
PONCE G,22,3.1196712818744476
PORTER M J,11,3.4187776215681644
PUGMIRE J E,1,3.71625
PUTINAR M,20,3.2440042010870314
RACKE R,1,2.1479166666666667
RAMIEREZ J F,1,2.864285714285714
RAMIREZ A,1,3.37
RAMIREZ J F,2,2.6841991341991345
RATHORE J,3,3.292573519090399
REAM R O,4,2.84117904911768
REYES M A,2,2.7642379679144384
RICCI F,3,3.2793032620024753
RICCI J J,1,3.5
ROBERTS J A,2,2.512333965844402
ROBINETT E L,1,2.9492957746478874
SAMPERTON E G,3,2.9138037423346823
SARAJIAN G P,3,2.8742144821598603
SCHARLEMANN M,8,2.963442240686269
SCHERICH N C,1,2.8290322580645166
SCHETTLER J C,8,3.3281428778056528
SCHLEY N B,18,3.1640483788039226
SCHULTE A J,1,2.9308823529411763
SEHAYEK S B,2,3.1140527950310557
SETO S,10,2.7721866238514843
SHAH S,5,2.943363713316882
SHAKERIAN S,4,3.282472589486566
SHEPPARD W D,1,3.5640732265446218
SHIFLEY T H,1,3.5102162162162163
SHU Y,3,2.300413564929694
SIDERIS T C,15,3.278773180674314
SIKORSKI K M,1,2.6
SIM W Y,2,3.3374239350912775
SMITH D L,2,3.226814314314314
SOBRAL Y D,1,2.8034482758620696
SORDILLO D C,4,3.03102809706258
SPEER T J,2,2.7104198625759026
SPJUT R W,1,1.6985576923076922
STOPPLE J,18,2.95740834923648
SU X,6,3.2679693180775002
SULWAY R J,4,2.5903519341987526
SUN C,4,3.261802917812046
SUNG B O,7,3.192756935417046
TAMAGAWA S K,2,2.938633461047254
TANG S,4,3.5407504087712156
TARIKERE ASHO,5,2.7987475640624613
TENER J E,3,2.975023705330048
THOMPSON K C,2,2.4149463527696033
THOREN E E,4,3.2390093630302172
THOREN GAGLIA,12,3.0696148023849106
TIAN K T,3,2.763268733850129
TIAN W,7,3.2735722044532602
TRETTEL S J,1,2.8449999999999998
TRISAL A V,1,2.676249008723236
TUERKOEN M M,1,3.584
TUFTE E D,1,3.568852459016393
VANDEVEER J B,1,3.1411312562342304
VARBLE M R,1,3.0466666666666664
VEGA GONZALEZ,1,3.2434782608695656
WAGNER Z J,1,3.233333333333333
WANG CHANGL,1,2.849295774647888
WANG YAOHONG,1,2.2554794520547947
WANG YUANQI,7,2.994783065176507
WANG ZHEN,5,3.996449704142012
WEI G,19,3.1478914188685447
WEIR E A,4,3.3490648277965667
WELLS S B,2,2.8799107142857143
WEN D,1,3.4322916666666665
WILLIAMS M J,1,3.123333333333333
WILLIAMS N F,3,3.0349118252550635
WINK M,2,3.855555555555556
WIRTS S S,2,2.4960416666666667
XUAN Y,1,3.1656250000000004
YAN J,1,2.9391304347826086
YAN M,3,3.5134930368373767
YAN Z X,7,3.5045526981863557
YANG F,4,3.181059755329828
YANG XU,14,3.386580714359215
YAQUB A M,8,3.1249923336437995
YE R,21,3.11719143708181
YOSHIZAWA M M,1,2.7222332015810276
ZHANG Q,4,3.554907896381503
ZHANG YITANG,13,3.5265028547118638
ZHAO XIAOLEI,19,3.5225372914941953
ZHOU BOHAN,7,2.7632524998364065
ZHOU HANMING,16,3.4935145305221154
ZHOU XIN,7,3.2590918524661587
ZIRBEL L K,3,2.7256857213824426
ZSHORNACK M F,1,3.259403467528651
