instructor,rmp_rating,rmp_difficulty,rmp_num_ratings,rmp_take_again,rmp_url,rmp_dept,rmp_tags
"BENZARTI, YOUSSEF",4.5,2.4,40,87%,https://www.ratemyprofessors.com/professor/2622730,Economics,"CLEAR GRADING CRITERIA, AMAZING LECTURES, RESPECTED, CARING, TEST HEAVY, TEST HEAVY, HILARIOUS, RESPECTED, ACCESSIBLE OUTSIDE CLASS, AMAZING LECTURES, HILARIOUS, ONLINE SAVVY, GRADED BY FEW THINGS"
"KURIS, ARMAND",4.3,3.8,36,66%,https://www.ratemyprofessors.com/professor/346672,Biology,"TEST HEAVY, GRADED BY FEW THINGS, RESPECTED, TOUGH GRADER, AMAZING LECTURES, TOUGH GRADER, LECTURE HEAVY, TEST HEAVY, AMAZING LECTURES, TEST HEAVY, GRADED BY FEW THINGS, INSPIRATIONAL, HILARIOUS, RESPECTED, HILARIOUS, TEST HEAVY, GRADED BY FEW THINGS"
"WARWICK, NICOLE",4.7,2.1,33,92%,https://www.ratemyprofessors.com/professor/1886356,Writing,"GIVES GOOD FEEDBACK, CARING, CLEAR GRADING CRITERIA, INSPIRATIONAL, PARTICIPATION MATTERS, CLEAR GRADING CRITERIA, GRADED BY FEW THINGS, ACCESSIBLE OUTSIDE CLASS, PARTICIPATION MATTERS, GROUP PROJECTS, ACCESSIBLE OUTSIDE CLASS, PARTICIPATION MATTERS, INSPIRATIONAL, CARING, PARTICIPATION MATTERS, GIVES GOOD FEEDBACK, INSPIRATIONAL"
"MIESCHER, STEPHAN",3.4,2.8,23,69%,https://www.ratemyprofessors.com/professor/804774,History,"GET READY TO READ, PARTICIPATION MATTERS, SKIP CLASS? YOU WON'T PASS., EXTRA CREDIT, CARING, GET READY TO READ, PARTICIPATION MATTERS, BEWARE OF POP QUIZZES, GET READY TO READ, PARTICIPATION MATTERS, CARING, GET READY TO READ, LECTURE HEAVY, GIVES GOOD FEEDBACK, ACCESSIBLE OUTSIDE CLASS, GET READY TO READ"
"GARCIA DAHAN, LETTY",4.7,1.9,14,100%,https://www.ratemyprofessors.com/professor/3015202,Theater,"CARING, GET READY TO READ, HILARIOUS, EXTRA CREDIT, ACCESSIBLE OUTSIDE CLASS, AMAZING LECTURES, HILARIOUS, CARING, EXTRA CREDIT, PARTICIPATION MATTERS, AMAZING LECTURES, CARING, GET READY TO READ, ACCESSIBLE OUTSIDE CLASS"
"PAREDES-RIVERA, CARINA",4.9,2.4,12,100%,https://www.ratemyprofessors.com/professor/2723094,Spanish,"PARTICIPATION MATTERS, CARING, LOTS OF HOMEWORK, GIVES GOOD FEEDBACK, INSPIRATIONAL, PARTICIPATION MATTERS, LOTS OF HOMEWORK, CARING, PARTICIPATION MATTERS, LOTS OF HOMEWORK, CARING, PARTICIPATION MATTERS, CARING, ACCESSIBLE OUTSIDE CLASS, PARTICIPATION MATTERS, AMAZING LECTURES, INSPIRATIONAL, GROUP PROJECTS, GIVES GOOD FEEDBACK, CARING"
"ANYIKA, MERCY",3.0,4.0,123,53%,https://www.ratemyprofessors.com/professor/2748603,Chemistry,"TEST HEAVY, TOUGH GRADER, HILARIOUS, LECTURE HEAVY, GET READY TO READ, TOUGH GRADER, LECTURE HEAVY, TOUGH GRADER, HILARIOUS, TEST HEAVY, LECTURE HEAVY, TEST HEAVY"
"BLAKE, FELICE",4.3,2.9,51,84%,https://www.ratemyprofessors.com/professor/1259723,English,"GET READY TO READ, BEWARE OF POP QUIZZES, INSPIRATIONAL, AMAZING LECTURES, RESPECTED, BEWARE OF POP QUIZZES, LECTURE HEAVY, GRADED BY FEW THINGS, GET READY TO READ, INSPIRATIONAL, BEWARE OF POP QUIZZES, GET READY TO READ, BEWARE OF POP QUIZZES, PARTICIPATION MATTERS, GROUP PROJECTS, BEWARE OF POP QUIZZES, GET READY TO READ, INSPIRATIONAL, BEWARE OF POP QUIZZES"
"LANUZA, YADER",3.4,2.0,27,62%,https://www.ratemyprofessors.com/professor/2796649,Sociology,"GROUP PROJECTS, LECTURE HEAVY, CLEAR GRADING CRITERIA, AMAZING LECTURES, GRADED BY FEW THINGS, GROUP PROJECTS, HILARIOUS, GROUP PROJECTS, CLEAR GRADING CRITERIA, BEWARE OF POP QUIZZES, GROUP PROJECTS, LECTURE HEAVY, GRADED BY FEW THINGS"
"CASTILLO-MUNOZ, VERONICA",2.4,2.9,20,50%,https://www.ratemyprofessors.com/professor/1731161,History,"GET READY TO READ, CARING, EXTRA CREDIT, AMAZING LECTURES, GIVES GOOD FEEDBACK, GET READY TO READ, EXTRA CREDIT, CLEAR GRADING CRITERIA, CARING, GROUP PROJECTS, CARING, GET READY TO READ, SO MANY PAPERS"
"TOBER, TARA",4.6,2.2,126,92%,https://www.ratemyprofessors.com/professor/2351706,Sociology,"AMAZING LECTURES, GET READY TO READ, CARING, CLEAR GRADING CRITERIA, RESPECTED, GET READY TO READ, GROUP PROJECTS, CARING, GRADED BY FEW THINGS, TEST HEAVY, ACCESSIBLE OUTSIDE CLASS, GET READY TO READ, RESPECTED, LECTURE HEAVY, AMAZING LECTURES, LOTS OF HOMEWORK, TEST HEAVY"
"BLOOM, PETER",2.5,3.8,32,15%,https://www.ratemyprofessors.com/professor/428139,Film,"GET READY TO READ, LOTS OF HOMEWORK, SO MANY PAPERS, TOUGH GRADER, PARTICIPATION MATTERS, GET READY TO READ, GROUP PROJECTS, LOTS OF HOMEWORK, GET READY TO READ, TOUGH GRADER, LOTS OF HOMEWORK, SO MANY PAPERS, GET READY TO READ, SO MANY PAPERS, LECTURE HEAVY"
"VENEGAS, CHRISTINA",2.4,3.3,25,8%,https://www.ratemyprofessors.com/professor/547776,Film,"LECTURE HEAVY, GET READY TO READ, LOTS OF HOMEWORK, TOUGH GRADER, PARTICIPATION MATTERS, GET READY TO READ, PARTICIPATION MATTERS, LOTS OF HOMEWORK, GET READY TO READ, PARTICIPATION MATTERS, RESPECTED, GET READY TO READ, SO MANY PAPERS, LECTURE HEAVY, LECTURE HEAVY, TOUGH GRADER, LOTS OF HOMEWORK"
"BOSWELL, ALICIA",2.9,3.3,23,39%,https://www.ratemyprofessors.com/professor/2572177,Art,"CLEAR GRADING CRITERIA, GET READY TO READ, EXTRA CREDIT, LECTURE HEAVY, TOUGH GRADER, EXTRA CREDIT, LOTS OF HOMEWORK, SO MANY PAPERS, EXTRA CREDIT, PARTICIPATION MATTERS, CLEAR GRADING CRITERIA, LECTURE HEAVY, EXTRA CREDIT, CLEAR GRADING CRITERIA, TEST HEAVY"
"VERTIZ, VICKIE",4.3,2.2,10,80%,https://www.ratemyprofessors.com/professor/2602685,Chicano Studies,"GIVES GOOD FEEDBACK, CARING, INSPIRATIONAL, ACCESSIBLE OUTSIDE CLASS, GET READY TO READ, GET READY TO READ, PARTICIPATION MATTERS, ACCESSIBLE OUTSIDE CLASS, EXTRA CREDIT, GIVES GOOD FEEDBACK, CARING, GIVES GOOD FEEDBACK, INSPIRATIONAL, CARING, PARTICIPATION MATTERS, GIVES GOOD FEEDBACK, CARING, GIVES GOOD FEEDBACK, INSPIRATIONAL, CARING"
"PIMIENTA, OMAR",5.0,3.6,5,100%,https://www.ratemyprofessors.com/professor/3018042,Spanish & Portuguese,"AMAZING LECTURES, HILARIOUS, CLEAR GRADING CRITERIA, GIVES GOOD FEEDBACK, GROUP PROJECTS, GROUP PROJECTS, AMAZING LECTURES, HILARIOUS, AMAZING LECTURES, CLEAR GRADING CRITERIA, HILARIOUS, AMAZING LECTURES, GIVES GOOD FEEDBACK, RESPECTED, AMAZING LECTURES, CLEAR GRADING CRITERIA, INSPIRATIONAL, AMAZING LECTURES, HILARIOUS"
"HILTNER, KENNETH (KEN)",3.7,2.7,352,65%,https://www.ratemyprofessors.com/professor/932951,English,"GET READY TO READ, LECTURE HEAVY, INSPIRATIONAL, GRADED BY FEW THINGS, CLEAR GRADING CRITERIA, GET READY TO READ, PARTICIPATION MATTERS, CARING, CLEAR GRADING CRITERIA, RESPECTED, GET READY TO READ, INSPIRATIONAL, CARING, TOUGH GRADER, GET READY TO READ, LECTURE HEAVY, GET READY TO READ, PARTICIPATION MATTERS, TEST HEAVY"
"SEIKALY , SHERENE ",4.4,3.5,29,90%,https://www.ratemyprofessors.com/professor/2022780,History,"GET READY TO READ, AMAZING LECTURES, RESPECTED, GIVES GOOD FEEDBACK, INSPIRATIONAL, CLEAR GRADING CRITERIA, GET READY TO READ, PARTICIPATION MATTERS, AMAZING LECTURES, GET READY TO READ, AMAZING LECTURES, ACCESSIBLE OUTSIDE CLASS, GET READY TO READ, PARTICIPATION MATTERS, AMAZING LECTURES, AMAZING LECTURES, INSPIRATIONAL, ACCESSIBLE OUTSIDE CLASS"
"BAKER, ANDREW",3.8,2.6,23,69%,https://www.ratemyprofessors.com/professor/2343293,Linguistics,"GIVES GOOD FEEDBACK, RESPECTED, TOUGH GRADER, CARING, EXTRA CREDIT, HILARIOUS, GROUP PROJECTS, GIVES GOOD FEEDBACK, CARING, TOUGH GRADER, LOTS OF HOMEWORK, GRADED BY FEW THINGS, TOUGH GRADER, LOTS OF HOMEWORK, TOUGH GRADER, GRADED BY FEW THINGS"
"ZACKRISON, ERIC",3.1,3.1,18,61%,https://www.ratemyprofessors.com/professor/2445003,Business,"GROUP PROJECTS, TOUGH GRADER, LOTS OF HOMEWORK, PARTICIPATION MATTERS, AMAZING LECTURES, PARTICIPATION MATTERS, GROUP PROJECTS, CLEAR GRADING CRITERIA, TOUGH GRADER, GROUP PROJECTS, PARTICIPATION MATTERS, CLEAR GRADING CRITERIA, CARING, ACCESSIBLE OUTSIDE CLASS"
"SEGURA, NATHAN",5.0,2.9,7,100%,https://www.ratemyprofessors.com/professor/2813586,Art,"PARTICIPATION MATTERS, GIVES GOOD FEEDBACK, HILARIOUS, AMAZING LECTURES, GET READY TO READ, GET READY TO READ, PARTICIPATION MATTERS, LOTS OF HOMEWORK, PARTICIPATION MATTERS, AMAZING LECTURES, INSPIRATIONAL, PARTICIPATION MATTERS, AMAZING LECTURES, GIVES GOOD FEEDBACK, PARTICIPATION MATTERS, GIVES GOOD FEEDBACK, HILARIOUS, PARTICIPATION MATTERS, GIVES GOOD FEEDBACK, CARING"
"BRUSUTTI, ANNA",3.1,2.9,183,44%,https://www.ratemyprofessors.com/professor/268051,Film,"GET READY TO READ, LECTURE HEAVY, GRADED BY FEW THINGS, TOUGH GRADER, SO MANY PAPERS, GIVES GOOD FEEDBACK, HILARIOUS, ACCESSIBLE OUTSIDE CLASS, HILARIOUS, RESPECTED, LECTURE HEAVY, HILARIOUS, CARING, GRADED BY FEW THINGS, INSPIRATIONAL, HILARIOUS, RESPECTED"
"ALAGONA, PETER",4.5,2.5,119,88%,https://www.ratemyprofessors.com/professor/1701804,History,"AMAZING LECTURES, GET READY TO READ, INSPIRATIONAL, RESPECTED, CARING, PARTICIPATION MATTERS, EXTRA CREDIT, GET READY TO READ, AMAZING LECTURES, INSPIRATIONAL, GET READY TO READ, AMAZING LECTURES, INSPIRATIONAL, AMAZING LECTURES, RESPECTED, ACCESSIBLE OUTSIDE CLASS, EXTRA CREDIT, AMAZING LECTURES, CARING"
"MAJEDI, MARYAM",2.6,4.0,112,43%,https://www.ratemyprofessors.com/professor/2938378,Computer Science,"TOUGH GRADER, PARTICIPATION MATTERS, TEST HEAVY, ACCESSIBLE OUTSIDE CLASS, CARING, TOUGH GRADER, PARTICIPATION MATTERS, TOUGH GRADER, TOUGH GRADER, PARTICIPATION MATTERS"
"WELTER, VOLKER",3.8,3.0,63,66%,https://www.ratemyprofessors.com/professor/463145,Architecture,"TOUGH GRADER, LECTURE HEAVY, GET READY TO READ, CLEAR GRADING CRITERIA, AMAZING LECTURES, GET READY TO READ, PARTICIPATION MATTERS, TOUGH GRADER, LECTURE HEAVY, TOUGH GRADER, GET READY TO READ, LECTURE HEAVY"
"TRUGMAN, ANNA",4.0,2.8,16,68%,https://www.ratemyprofessors.com/professor/2641665,Geography,"CLEAR GRADING CRITERIA, CARING, PARTICIPATION MATTERS, LECTURE HEAVY, ACCESSIBLE OUTSIDE CLASS, PARTICIPATION MATTERS, GROUP PROJECTS, CLEAR GRADING CRITERIA, LOTS OF HOMEWORK, CLEAR GRADING CRITERIA, CARING, LECTURE HEAVY, LECTURE HEAVY, TEST HEAVY, ACCESSIBLE OUTSIDE CLASS"
"STEVENS, HANNAH",3.1,2.6,10,50%,https://www.ratemyprofessors.com/professor/3129627,Communication,"TOUGH GRADER, PARTICIPATION MATTERS, LECTURE HEAVY, GIVES GOOD FEEDBACK, GET READY TO READ, TOUGH GRADER, GET READY TO READ, PARTICIPATION MATTERS, AMAZING LECTURES, LECTURE HEAVY, TEST HEAVY, TOUGH GRADER, PARTICIPATION MATTERS, GIVES GOOD FEEDBACK, TOUGH GRADER, LECTURE HEAVY, GRADED BY FEW THINGS"
"CORONA, ANDREEA",1.0,5.0,1,,https://www.ratemyprofessors.com/professor/3159556,Linguistics,"LOTS OF HOMEWORK, LOTS OF HOMEWORK"
"NYEU , MAUNG ",5.0,1.0,1,100%,https://www.ratemyprofessors.com/professor/3158663,Education,"GROUP PROJECTS, AMAZING LECTURES, CLEAR GRADING CRITERIA, GROUP PROJECTS, AMAZING LECTURES, CLEAR GRADING CRITERIA"
"JOSEPH, CRISJOE",4.2,3.7,388,82%,https://www.ratemyprofessors.com/professor/1829388,Chemistry,"TEST HEAVY, CLEAR GRADING CRITERIA, AMAZING LECTURES, LOTS OF HOMEWORK, GRADED BY FEW THINGS, EXTRA CREDIT, GRADED BY FEW THINGS, AMAZING LECTURES, LOTS OF HOMEWORK, TEST HEAVY, GRADED BY FEW THINGS, PARTICIPATION MATTERS, AMAZING LECTURES, CLEAR GRADING CRITERIA, INSPIRATIONAL, LOTS OF HOMEWORK, TEST HEAVY"
