instructor,rmp_rating,rmp_url
SAMANTHA SCUDDER,4.7,https://www.ratemyprofessors.com/professor/2669812
GREG SIEGEL,2.9,https://www.ratemyprofessors.com/professor/1003594
NADINE RUSSELL,2.4,https://www.ratemyprofessors.com/professor/3085429
BRANDON WOO,4.8,https://www.ratemyprofessors.com/professor/3068554
COLIN ALLEN,3.8,https://www.ratemyprofessors.com/professor/2987737
REAGAN HAYNES,2.7,https://www.ratemyprofessors.com/professor/2914500
MEHDI HAGHIGHI,4.0,https://www.ratemyprofessors.com/professor/3109447
JOHN HARTMAN,2.2,https://www.ratemyprofessors.com/professor/1112610
MARYAM MAJEDI,2.6,https://www.ratemyprofessors.com/professor/2938378
KATHLEEN BRUHN,3.4,https://www.ratemyprofessors.com/professor/43810
BRIAN DONNELLY,4.4,https://www.ratemyprofessors.com/professor/1406076
MELINDA BAHAM,3.9,https://www.ratemyprofessors.com/professor/2914518
YADER LANUZA,3.4,https://www.ratemyprofessors.com/professor/2796649
KEVIN ANDERSON,3.7,https://www.ratemyprofessors.com/professor/1399333
HEATHER STOLL,3.4,https://www.ratemyprofessors.com/professor/524663
PAASHA MAHDAVI,4.4,https://www.ratemyprofessors.com/professor/2533812
JON CHARRY,4.0,https://www.ratemyprofessors.com/professor/3017822
LIZ MUNDAY,5.0,https://www.ratemyprofessors.com/professor/3117727
DARBY FELDWINN,3.0,https://www.ratemyprofessors.com/professor/1346549
JULIO VEGA,5.0,https://www.ratemyprofessors.com/professor/2390052
PETER BLOOM,2.6,https://www.ratemyprofessors.com/professor/428139
TOMOYUKI ICHIBA,3.7,https://www.ratemyprofessors.com/professor/1539079
CARAGH BARRY,2.4,https://www.ratemyprofessors.com/professor/2282678
JEANNE UMANA,2.6,https://www.ratemyprofessors.com/professor/37034
STANLEY KLEIN,4.3,https://www.ratemyprofessors.com/professor/277079
DZWOKAI MA,3.2,https://www.ratemyprofessors.com/professor/568490
VOULA TSOUNA,3.9,https://www.ratemyprofessors.com/professor/89483
JEANNINE DELOMBARD,2.5,https://www.ratemyprofessors.com/professor/2091910
AMY GONZALES,2.8,https://www.ratemyprofessors.com/professor/2518008
KEVIN WHITEHEAD,4.4,https://www.ratemyprofessors.com/professor/1158051
SOMAYEH DODGE,3.5,https://www.ratemyprofessors.com/professor/2657627
PETER RUPERT,2.8,https://www.ratemyprofessors.com/professor/1098627
RALPH AMBRUSTER-SANDOVAL,4.2,https://www.ratemyprofessors.com/professor/172227
TANAKA SALDIVAR,4.1,https://www.ratemyprofessors.com/professor/1553008
DANIEL MARTIN,5.0,https://www.ratemyprofessors.com/professor/3108841
NATCHEE BARND,5.0,https://www.ratemyprofessors.com/professor/3144070
SENG LOW,2.4,https://www.ratemyprofessors.com/professor/1256774
SILVIA BERMUDEZ,3.1,https://www.ratemyprofessors.com/professor/549479
JAIME ALVES,2.8,https://www.ratemyprofessors.com/professor/2558342
TARA TOBER,4.6,https://www.ratemyprofessors.com/professor/2351706
KEREM CAMSARI,4.8,https://www.ratemyprofessors.com/professor/2960689
V. PALANIAPPAN,2.9,https://www.ratemyprofessors.com/professor/3041445
AN BUI,1.0,https://www.ratemyprofessors.com/professor/3079583
TAMSIN GERMAN,4.5,https://www.ratemyprofessors.com/professor/289948
JACK MILLER,4.7,https://www.ratemyprofessors.com/professor/2889823
GERARDO ALDANA,3.1,https://www.ratemyprofessors.com/professor/421368
SARAH HOLMES,2.8,https://www.ratemyprofessors.com/professor/3044607
